,Ubigeo,pobreza_media,Anio
28,120604,25.4,2013
29,120606,25.4,2013
33,81306,25.15,2013
35,80803,25.049999999999997,2013
39,80608,24.8,2013
41,120136,24.700000000000003,2013
42,120424,24.700000000000003,2013
53,30401,24.2,2013
0,30712,24.2,2013
1,90304,24.200000000000003,2013
5,120434,24.0,2013
12,120430,23.7,2013
26,120413,23.15,2013
28,80601,23.1,2013
32,80408,22.950000000000003,2013
36,80801,22.9,2013
38,120121,22.8,2013
48,90118,22.55,2013
49,120130,22.5,2013
1,120904,22.200000000000003,2013
3,80308,22.1,2013
13,90108,21.75,2013
17,120304,21.549999999999997,2013
20,80909,21.5,2013
21,120305,21.5,2013
22,81305,21.45,2013
23,80309,21.4,2013
24,80303,21.35,2013
25,110108,21.35,2013
26,120117,21.35,2013
42,80401,21.049999999999997,2013
43,50101,21.0,2013
51,80905,20.55,2013
52,80912,20.55,2013
1,30101,20.35,2013
7,80902,20.1,2013
12,110109,19.85,2013
13,110114,19.9,2013
16,120701,19.8,2013
25,120410,19.450000000000003,2013
28,120119,19.3,2013
29,120101,19.3,2013
30,120901,19.299999999999997,2013
40,81302,18.9,2013
41,120215,18.8,2013
43,120132,18.75,2013
44,120601,18.7,2013
48,120428,18.450000000000003,2013
3,80906,18.1,2013
6,120208,18.05,2013
8,120201,17.9,2013
13,120905,17.65,2013
33,81203,16.75,2013
34,81211,16.75,2013
38,120401,16.55,2013
39,80103,16.45,2013
48,120301,16.05,2013
49,90101,16.0,2013
0,120125,15.700000000000001,2013
5,81307,15.45,2013
10,90601,15.2,2013
11,120129,15.149999999999999,2013
14,120210,15.0,2013
15,120211,15.0,2013
19,120404,14.950000000000001,2013
20,120409,14.950000000000001,2013
23,120212,14.7,2013
30,110503,14.45,2013
32,110206,14.4,2013
39,120801,14.1,2013
43,50115,14.05,2013
46,81301,13.95,2013
4,80607,13.5,2013
12,81303,13.1,2013
20,120808,12.5,2013
23,120804,12.25,2013
24,120806,12.25,2013
28,110208,12.1,2013
45,80904,11.45,2013
46,80908,11.45,2013
47,80911,11.45,2013
16,110103,10.6,2013
17,120107,10.6,2013
21,110105,10.4,2013
46,80107,8.45,2013
0,110207,8.35,2013
1,81304,8.35,2013
4,110112,8.3,2013
6,110113,8.25,2013
10,110507,7.949999999999999,2013
15,110205,7.75,2013
17,110110,7.65,2013
19,110210,7.65,2013
20,110201,7.6,2013
24,110202,7.35,2013
25,80901,7.3,2013
30,110111,7.0,2013
34,110504,6.65,2013
39,110301,6.45,2013
40,110501,6.449999999999999,2013
42,80104,6.3500000000000005,2013
45,110102,6.050000000000001,2013
0,80106,5.85,2013
5,80105,5.65,2013
9,110203,5.4,2013
10,110209,5.4,2013
11,120101,5.0,2013
14,110211,5.0,2013
16,120803,6.4,2013
17,120810,6.4,2013
18,110508,4.8,2013
21,110104,4.7,2013
22,110106,4.65,2013
25,110402,4.4,2013
26,110506,4.2,2013
28,110403,4.05,2013
29,80101,4.05,2013
33,110303,3.75,2013
34,110305,3.75,2013
36,120114,3.75,2013
38,110204,3.6,2013
41,110404,3.4,2013
47,110505,3.7,2013
0,110101,3.0999999999999996,2013
5,110401,2.75,2013
6,110405,2.75,2013
12,110107,1.8,2013
16,110302,1.25,2013
17,110304,1.25,2013
24,80108,0.6,2013
6,50410,81.261671,2018
9,50411,78.161251,2018
10,90722,77.125392,2018
23,50412,72.722171,2018
29,51011,70.736082,2018
31,50511,70.34949499999999,2018
63,90307,66.018283,2018
73,50510,64.817398,2018
78,50906,64.442539,2018
86,50205,63.94617099999999,2018
87,90302,63.810822,2018
91,50506,63.620239999999995,2018
92,90714,63.567105999999995,2018
93,51008,63.468119,2018
104,50505,62.395542000000006,2018
109,81006,61.454993,2018
111,81205,61.35074,2018
116,50112,60.55300999999999,2018
125,50406,59.937554999999996,2018
142,51006,59.034564,2018
143,50708,58.999703000000004,2018
144,90117,58.77626599999999,2018
145,50204,58.648858999999995,2018
148,90720,58.457353999999995,2018
149,50903,58.364017000000004,2018
151,30210,58.244383,2018
152,51012,58.111649,2018
154,50114,58.013396,2018
155,30205,57.965047999999996,2018
158,51107,57.615286,2018
159,81209,57.584146000000004,2018
163,90506,57.363609,2018
167,30214,57.228157,2018
171,80705,57.047768000000005,2018
173,90306,56.942654000000005,2018
178,30611,56.57084999999999,2018
185,51010,55.91758300000001,2018
187,80502,55.855767,2018
189,50703,55.840312999999995,2018
192,90110,55.702492,2018
197,30217,55.533440999999996,2018
200,30409,55.45137,2018
203,51104,55.226955000000004,2018
204,80507,55.119197,2018
210,50910,54.993232000000006,2018
222,50615,54.55640899999999,2018
224,80707,54.520153,2018
227,90511,54.37387700000001,2018
233,50508,54.039499000000006,2018
236,90702,53.93090600000001,2018
237,30603,53.92848599999999,2018
239,30608,53.886841000000004,2018
241,50109,53.852984000000006,2018
243,90116,53.814208,2018
244,30714,53.796328,2018
245,30610,53.790238,2018
246,30503,53.773145,2018
248,90721,53.72067200000001,2018
252,30702,53.583462999999995,2018
253,81210,53.548677,2018
255,50902,53.497967,2018
258,51003,53.484127,2018
268,80505,53.11860299999999,2018
270,50402,53.055271000000005,2018
272,30212,53.040105999999994,2018
274,30703,52.995689,2018
276,30215,52.899856,2018
277,30607,52.89089700000001,2018
287,90203,52.585169,2018
289,50106,52.501663,2018
292,90408,52.404067,2018
301,50404,52.217517,2018
306,51002,52.052896000000004,2018
307,30706,52.03890799999999,2018
309,90115,52.020666999999996,2018
311,30707,51.920675,2018
312,30219,51.887377,2018
314,120608,51.784869,2018
315,120504,51.766199,2018
318,30202,51.744097000000004,2018
321,50105,51.697462,2018
322,81204,51.69089100000001,2018
325,81103,51.647583,2018
327,50302,51.58068900000001,2018
328,90723,51.575342,2018
329,50102,51.53651299999999,2018
334,90206,51.426005,2018
339,90105,51.273128,2018
340,81104,51.25095400000001,2018
343,90409,51.221833000000004,2018
345,30414,51.09489299999999,2018
347,80404,50.998653000000004,2018
352,51005,50.85634,2018
355,30307,50.827642,2018
357,50904,50.765457000000005,2018
362,50612,50.27596600000001,2018
365,30207,50.197483,2018
367,80501,50.118466,2018
373,80706,50.032726999999994,2018
374,50614,50.023129,2018
377,50206,49.872178000000005,2018
381,90405,49.694053,2018
383,50202,49.686077000000004,2018
387,81102,49.619293,2018
388,50403,49.542142,2018
390,50602,49.507817,2018
393,90202,49.432298,2018
394,30708,49.28344,2018
398,80704,49.167441999999994,2018
403,50617,49.015609999999995,2018
404,80703,48.960747999999995,2018
408,120605,48.846161,2018
415,90704,48.642132,2018
418,90303,48.622901999999996,2018
420,50501,48.595298,2018
421,50607,48.577225,2018
426,30218,48.327017999999995,2018
428,90103,48.28448900000001,2018
432,30710,48.160119,2018
449,81212,47.828509000000004,2018
451,30601,47.786392,2018
453,90719,47.763583999999994,2018
454,90308,47.740775,2018
460,120205,47.45068499999999,2018
463,51103,47.288156,2018
466,90717,47.127084,2018
468,50908,47.117162,2018
469,80304,47.088974,2018
472,50907,46.972272,2018
473,30704,46.964669,2018
474,51101,46.946494,2018
478,50111,46.909459,2018
481,120203,46.875417999999996,2018
496,50608,46.321004,2018
501,81101,46.231595,2018
507,90114,46.056613,2018
508,50203,45.977185999999996,2018
509,80508,45.967309,2018
511,50502,45.927716000000004,2018
518,50303,45.793637999999994,2018
519,50407,45.787749,2018
520,80503,45.783716,2018
522,81105,45.705456999999996,2018
526,80605,45.515751,2018
527,81002,45.511449,2018
528,80911,45.476715999999996,2018
529,120703,45.41516,2018
530,120709,45.41516,2018
535,90710,45.395045,2018
536,50909,45.354617000000005,2018
538,50103,45.268869,2018
540,80205,45.198174,2018
542,30504,45.178005,2018
543,80702,45.15750700000001,2018
551,80806,44.958712999999996,2018
552,51004,44.9478,2018
553,90713,44.923393,2018
554,30203,44.922881,2018
556,30103,44.88103099999999,2018
559,90709,44.84604300000001,2018
560,30609,44.772251,2018
565,30105,44.652933,2018
569,30220,44.577723000000006,2018
572,90208,44.56379,2018
576,80701,44.452513,2018
578,90304,44.441587,2018
579,90312,44.390001,2018
587,30408,44.243394,2018
590,90301,44.125031,2018
592,50504,44.042213000000004,2018
594,50304,43.949016,2018
596,50613,43.895773999999996,2018
599,90718,43.86548499999999,2018
